Nummer,Schulname,Straße,Hausnummer,PLZ,City,Tel,Web,Privatschule,Grundschule,Gemeinschaftsschule,Gymnasium,Förderschule,Offene Ganztagsschule,Gebundene Ganztagsschule,ESA,MSA,Abitur,Jahrgänge,Schulleiter,Vorraussetzung,Schüler,Lehrkräfte,Angestellte,Schulträger,Lat,Lon
0702020,Schule auf der Rude,Lundweg,30,24941,Flensburg,0461/852556,https://schule-auf-der-rude.lernnetz.de,,1,,,,1,,,,,1-4,Frau Saar,,147,,,Stadt Flensburg,54.772641930250046,9.427890874638875
0702021,Falkenbergschule,Emil-Nolde-Straße,31,24937,Flensburg,0461/852548,https://falkenbergschule-flensburg.de,,1,,,,1,,,,,1-4,Frau Schulz,,221,13,7,Stadt Flensburg,54.78237219432031,9.410334207605427
0702022,Hohlwegschule,Glücksburger Straße,38,24943,Flensburg,0461/852587,http://www.hohlwegschule.de,,1,,,,1,,,,,1-4,Frau Sellmer,,200,,,Stadt Flensburg,54.7847982025411,9.447681127760653
0702023,Schule Ramsharde,Am Katharinenhof,29,24939,Flensburg,0461/852541,https://schuleramsharde.lernnetz.de,,1,,,,1,,,,,1-4,Frau Nissen,,394,,,Stadt Flensburg,54.80297312836619,9.41300432192706
0702024,Waldschule,Waldstraße,44,24939,Flensburg,0461/852545,https://waldschule-flensburg.de,,1,,,,1,,,,,1-4,Herr Masuhr,,365,23,3,Stadt Flensburg,54.79424142535797,9.416926260151751
0702028,Schule Engelsby,Brahmsstraße,2-4,24943,Flensburg,0461/852597,https://schule-engelsby.lernnetz.de,,1,,,,1,,,,,1-4,z.Zt. ohne Schulleitung,,278,,,Stadt Flensburg,54.79253010762178,9.474287288354772
0702029,Unesco-Projekt-Schule Weiche,Bahnstraße,20,24941,Flensburg,0461/852553,https://ups-fl.lernnetz.de,,1,,,,1,,,,,1-4,Herr Fenger,,270,,,Stadt Flensburg,54.75869588202301,9.402099188191915
0702030,Grundschule Friedheim,Marrenshof,1,24944,Flensburg,0461/852529,https://schule-friedheim.lernnetz.de,,1,,,,1,,,,,1-4,Frau Lasch,,295,,,Stadt Flensburg,54.81263352574732,9.478013019038587
0702031,Schule Fruerlund,Bohlberg,56-58,24943,Flensburg,0461/852554,https://www.schule-fruerlund.de,,1,,,,1,,,,,1-4,Herr Rothehüser,,223,,,Stadt Flensburg,54.794136788939156,9.458679388354769
0702035,Grundschule Adelby,Ringstraße,1,24943,Flensburg,0461/852598,https://schule-adelby.lernnetz.de,,1,,,,1,,,,,1-4,Frau Erichsen,,335,,,Stadt Flensburg,54.7818388879518,9.466417042329047
